                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.088,                 1.4268,                0.89136,                 1.0383,                0.72721,                0.58418,                0.68828,                0.50297,                0.74327,                 0.5027,                0.56259,                0.29099,                 1.1833,                 2.1001,                 1.6414,                 1.1662,             0.00034832,             0.00034832,             0.00034832
                     35,                 1.2228,                 1.6162,                0.98357,                 1.1555,                0.56069,                 0.7132,                0.66877,                 0.4744,                0.50323,                0.66718,                0.58834,                0.31349,                 1.1764,                 2.0406,                 1.7399,                 1.1636,             0.00035503,             0.00035503,             0.00035503
                     36,                 1.0692,                 1.4972,                  0.897,                 1.0489,                0.56069,                 0.7132,                0.66877,                 0.4744,                0.50323,                0.66718,                0.58834,                0.31349,                 1.1764,                 2.0406,                 1.7399,                 1.1636,             0.00036151,             0.00036151,             0.00036151
                     37,                 1.1082,                 1.5049,                  0.926,                 1.0765,                0.67933,                 0.6317,                 0.6265,                0.45192,                0.65755,                0.60289,                 0.5726,                0.31701,                 1.1454,                 1.9935,                 1.9736,                 1.1448,             0.00036776,             0.00036776,             0.00036776
                     38,                 1.0234,                 1.4557,                0.90281,                 1.0531,                0.67933,                 0.6317,                 0.6265,                0.45192,                0.65755,                0.60289,                 0.5726,                0.31701,                 1.1454,                 1.9935,                 1.9736,                 1.1448,             0.00037379,             0.00037379,             0.00037379
                     39,                 1.1072,                 1.4547,                0.86124,                 1.0417,                0.61412,                0.69663,                0.57422,                0.39576,                0.59223,                0.66301,                0.51451,                0.25724,                 1.1234,                 1.9674,                 2.1386,                 1.1187,             0.00037959,             0.00037959,             0.00037959
                     40,                 1.0838,                 1.4036,                0.79277,                 1.0106,                0.61412,                0.69663,                0.57422,                0.39576,                0.59223,                0.66301,                0.51451,                0.25724,                 1.1234,                 1.9674,                 2.1386,                 1.1187,             0.00038517,             0.00038517,             0.00038517
                     41,                 1.0343,                 1.3743,                 0.8136,                 1.0244,                0.80021,                0.62811,                0.70998,                0.52441,                0.76895,                0.59907,                0.64614,                0.35824,                 1.0718,                 1.9481,                 1.5919,                 1.0816,             0.00039052,             0.00039052,             0.00039052
                     42,                 1.0253,                 1.3735,                0.82041,                 1.0053,                0.80021,                0.62811,                0.70998,                0.52441,                0.76895,                0.59907,                0.64614,                0.35824,                 1.0718,                 1.9481,                 1.5919,                 1.0816,             0.00039564,             0.00039564,             0.00039564
                     43,                0.97028,                 1.4272,                0.80219,                 1.0286,                0.87847,                0.66568,                0.74663,                0.56309,                0.83827,                0.63842,                0.68066,                0.38268,                 1.0349,                 1.8006,                 1.2037,                 1.0725,             0.00040054,             0.00040054,             0.00040054
